MinTemp,MaxTemp,Lluvia,Evaporacion,Sol,VelRafaga,Vel9am,Vel3pm,Hum9am,Hum3pm,Pres9am,Pre3pm,Nub9am,Nub3pm,Temp9am,Temp3pm,LluviaHoy,LluviaMan,Koppen,Estacion
3.1,18.1,0,3,9.7,19,7,13,59,36,1020.5,1017.9,3,2,14.1,17.2,No,No,Subtropical,Invierno
12.1,30.6,0,8,5.6,61,17,20,34,44,1012.7,1011.6,7,7,20.3,22.4,No,No,Temperate,Verano
20,29.1,1.4,5.2,7.2,35,9,19,81,56,1017.7,1013.2,3,7,21.5,28.5,Yes,No,Subtropical,Otoño
11,25.3,0,5.4,11.1,24,7,15,61,50,1022.8,1019.4,1,1,20.2,23.6,No,No,Subtropical,Primavera
7,17.3,3.2,2.4,6.4,30,9,15,89,55,1015,1016.7,1,5,10.1,16.7,Yes,No,Subtropical,Invierno
25.2,33,0,6.4,8.6,52,7,11,70,65,1012.7,1008.8,1,4,30.4,30.3,No,Yes,Temperate,Otoño
6.4,12.5,3.8,2.8,3.6,70,22,26,64,55,1014.2,1012,3,7,9.8,12.2,Yes,Yes,Temperate,Invierno
16.8,29.8,0,7.2,9.4,37,17,17,46,30,1021.1,1017.9,7,7,22,29.2,No,No,Grassland,Otoño
12.9,31.6,0,9.6,12,41,26,28,53,48,1014.2,1012.1,1,0,26.3,29.6,No,No,Subtropical,Otoño
15.4,35,0,10.6,12.6,44,13,30,27,21,1008.2,1008.7,6,3,28.4,31.3,No,No,Temperate,Verano
15.6,19.1,13.4,3.8,6.6,78,41,37,67,93,1003.3,1003,6,7,17.6,14.9,Yes,Yes,Subtropical,Invierno
4.6,20.5,0,1.4,8.9,28,9,7,73,46,1026.6,1023,1,1,12.4,20.2,No,No,Subtropical,Otoño
17.1,28.9,0,10,7.5,39,11,20,74,47,1011.4,1011.6,2,6,22.5,25.2,No,No,Subtropical,Verano
8.2,14.5,0,3.2,1,54,22,17,54,46,1009.2,1006.5,7,7,10.3,13.8,No,No,Temperate,Invierno
15.2,30.9,0,4.8,10.6,28,6,15,44,66,1014.6,1010.6,1,1,23.2,25.4,No,No,Subtropical,Primavera
19.9,26,1,7.6,7.5,52,30,30,91,64,1022.1,1021.3,8,5,19.9,24.3,No,No,Subtropical,Verano
9.5,22.4,0,4,10.4,44,11,7,45,27,1018.8,1016.1,3,4,15.5,21.2,No,No,Temperate,Otoño
11.5,23.4,1.4,1.6,8.5,37,2,24,86,36,1011.5,1009.1,7,2,15.7,21.9,Yes,No,Temperate,Otoño
-1.2,15.2,0,2.1,10,26,9,15,84,52,1033.4,1029.6,1,2,7,14.4,No,No,Temperate,Invierno
7.3,20.8,0,4,4.8,46,19,28,61,40,1019.3,1010,7,7,10,19.9,No,Yes,Grassland,Primavera
16.2,33,4,5,12,41,7,13,84,23,1006.2,999.4,4,3,21.8,32.2,Yes,No,Temperate,Verano
10.1,17.7,9.4,2,5,50,2,35,95,50,1012.9,1014.1,8,3,12.4,16.5,Yes,No,Subtropical,Invierno
5.1,26.9,0,6.4,11.5,30,17,11,23,9,1019.5,1015.3,0,0,20.4,26.4,No,No,Subtropical,Primavera
8.4,17.7,0.4,1,5.5,41,20,20,87,83,1018.2,1016,5,7,12.3,16,No,Yes,Temperate,Otoño
13,23.7,0.2,4,9.9,43,19,31,83,74,1010.2,1009.9,1,7,16.7,18.8,No,No,Temperate,Verano
18.4,25.4,0,7.2,5.7,39,15,28,73,59,1006.8,1007.3,7,7,22.4,23.3,No,No,Subtropical,Verano
7.9,17.7,0,2.6,3,24,2,7,60,49,1015.4,1013.3,7,7,11.6,16.3,No,No,Temperate,Primavera
11.9,26.6,0,8,11.1,43,13,26,45,33,1012.9,1007.9,0,0,18.2,24.8,No,No,Subtropical,Primavera
6.8,27.6,0,5,10,35,22,13,38,22,1024.2,1020.5,0,0,18.1,26.8,No,No,Subtropical,Otoño
21.8,40.8,0,13,12.8,41,26,20,18,8,1010.1,1006.1,1,1,30.9,40.1,No,No,Grassland,Verano
11.8,24.4,0.6,6.4,10,31,7,17,69,46,1008.6,1007.7,2,4,19.6,23.1,No,No,Subtropical,Primavera
24.2,32.9,11.8,6,4.8,30,13,15,79,66,1009.4,1007.1,5,7,28.4,30.6,Yes,No,Temperate,Otoño
6.1,22.8,0,1.6,8.3,70,11,37,80,40,1025.7,1019.2,7,4,11,22.2,No,No,Temperate,Otoño
5.9,22.9,0,4.2,9.3,43,6,30,81,57,1017.1,1015.5,2,3,15,21.1,No,No,Subtropical,Otoño
7.4,11.1,1.4,5.2,8.9,59,15,13,60,60,1004.5,1012.6,5,5,8,8.4,Yes,No,Temperate,Primavera
24.4,33.5,19.2,5.6,8.1,43,11,17,78,65,1008.9,1006,6,7,29.2,31.6,Yes,Yes,Temperate,Otoño
6.9,14.9,1.4,2.2,11.1,57,28,26,86,76,1014.6,1015.6,8,8,10.6,12.4,Yes,Yes,Temperate,Primavera
20.6,25.8,0,7,7,37,13,24,89,66,1016.7,1014.8,7,3,21.4,25.1,No,No,Subtropical,Verano
12.6,16.3,3.6,2.2,0.7,20,7,7,96,76,1021.5,1018.8,8,7,12.7,16.1,Yes,No,Temperate,Otoño
8.9,24.5,0,10.8,11.5,48,13,33,42,30,1011.7,1009.5,5,3,14.8,23.9,No,No,Temperate,Otoño
16.5,24.2,0,6.2,6.3,33,19,17,68,49,1021.6,1019.6,8,3,17.4,22.3,No,No,Temperate,Verano
24.7,30.8,0,6.4,3.9,37,22,20,76,67,1011,1007.9,7,7,26.8,29.5,No,No,Temperate,Otoño
21.1,34.8,0,11.4,12,33,20,9,58,29,1016.2,1011.8,6,6,24.1,32,No,No,Subtropical,Verano
3.6,17.5,0,3.2,8.5,33,4,15,85,49,1032.9,1029.2,7,3,10.3,16.8,No,No,Temperate,Otoño
5.6,22.8,0,6,10.1,33,4,13,45,25,1012.4,1007.4,0,1,16.4,22.3,No,No,Subtropical,Invierno
16.5,27.4,0,5.4,7.9,30,9,15,72,56,1013,1011.8,4,3,22,26.2,No,No,Subtropical,Verano
9,25.3,0,6.4,11.5,48,19,28,59,26,1018.7,1014.8,0,0,17.1,25,No,No,Grassland,Otoño
11.5,23.2,0,4,8.8,33,7,19,88,55,1024.5,1022.3,6,2,14.7,21.8,No,No,Temperate,Otoño
25.8,32.3,0.4,4.8,4.6,39,13,24,89,65,1008.1,1005.2,7,7,27.2,30.9,No,Yes,Temperate,Verano
19.6,29.1,1,5.6,8.8,39,7,15,79,53,1016.9,1015,7,3,23,27.7,No,No,Subtropical,Verano
7.1,28.7,0,3.6,9.8,35,2,7,54,28,1016,1009.6,1,1,15.7,28.6,No,No,Subtropical,Invierno
23.7,31.9,0,7.6,3,48,22,19,42,26,1012.9,1009.6,7,6,25.7,30.9,No,No,Temperate,Otoño
23.7,32.7,91,10.6,6.3,33,13,15,90,65,1008.1,1004.6,7,7,25.8,31.4,Yes,Yes,Temperate,Otoño
10.4,19.5,0,3.6,8.7,52,13,19,56,55,1019.1,1015,2,3,17.2,18.4,No,Yes,Subtropical,Primavera
10.3,24.3,0,10.6,13.3,37,9,20,57,45,1020.9,1017.8,5,1,16.9,23.1,No,No,Temperate,Verano
11.2,25.7,0,3.6,6.5,37,11,17,66,42,1016.1,1011.9,4,7,16.5,24.9,No,Yes,Temperate,Otoño
26.8,33.2,1.8,5.4,3.8,67,17,7,78,99,1008.8,1006.3,7,7,30.7,25.3,Yes,Yes,Temperate,Otoño
6.5,14.7,9.8,2.2,3.5,44,19,26,88,66,1010.1,1012.8,8,8,10.1,13,Yes,No,Temperate,Invierno
15.4,22.7,0,6.2,12.3,37,20,20,53,60,1016,1014.2,5,3,21.6,20.8,No,No,Subtropical,Verano
12.4,18.1,1.6,4.2,3,37,9,20,72,93,1012.2,1014.1,7,7,13.7,15.4,Yes,No,Temperate,Verano
9.8,25.6,0,4.8,11.2,31,17,6,51,29,1031.3,1027.6,0,1,18.6,24.9,No,No,Subtropical,Primavera
13.6,20.2,2,2.6,0.1,33,6,22,90,54,1026,1024.7,7,8,15.5,18.8,Yes,No,Subtropical,Primavera
25,32.9,0,6.6,8.1,31,7,22,83,58,1014.1,1010.3,3,2,27.6,31.5,No,No,Temperate,Invierno
15.2,27.4,0,5.4,11.3,35,11,20,68,48,1026.1,1024.4,1,1,20.2,25.9,No,No,Subtropical,Otoño
4,18.7,0,4.4,10.5,37,15,19,64,30,1034.7,1032.1,1,0,10.8,18.5,No,No,Grassland,Otoño
17.5,29.4,9.4,1.8,8.8,35,17,22,70,45,1017.4,1014,2,6,23.2,28.4,Yes,No,Subtropical,Otoño
11.9,21.8,2.6,1.8,5.7,54,7,17,96,34,1014.2,1010.8,8,3,13.7,20.6,Yes,Yes,Temperate,Otoño
4.5,15.4,0,2,3.4,54,17,13,69,60,1029.6,1025.4,3,7,9.6,14.5,No,No,Temperate,Otoño
7.8,15.1,8.6,3.6,3.4,54,11,17,84,81,1012,1012.9,7,6,10.7,12.8,Yes,No,Temperate,Invierno
12.5,27,0,4.8,10.6,43,9,31,48,35,1016.1,1012.5,1,7,19.6,26.5,No,No,Subtropical,Primavera
0.2,14.8,0,2.8,10.1,41,17,26,67,36,1023.1,1020,1,1,7.2,14.2,No,No,Subtropical,Invierno
11.1,20.6,0,3.8,10.1,41,17,22,53,31,1014.7,1011.8,1,1,13.2,19.1,No,No,Subtropical,Otoño
12.3,24.8,0,4.2,9.6,26,15,11,78,42,1023.2,1020.6,5,5,15.4,24.1,No,No,Temperate,Otoño
5.1,15.3,0,3.6,5.7,35,9,20,62,50,1025.6,1023.9,4,7,8.7,13.9,No,No,Temperate,Invierno
2.9,12.5,0,1.4,3,24,17,9,99,69,1024.5,1021.4,8,6,4.6,11.8,No,Yes,Temperate,Invierno
12.8,21.6,0,3,10.9,43,9,30,62,56,1029,1025.6,3,1,18.2,19.8,No,No,Subtropical,Primavera
13.7,24,0,4.2,8.9,26,9,9,64,51,1021.7,1017.9,1,2,19.3,22.7,No,No,Subtropical,Invierno
15.5,21.7,0,4.6,9.1,33,11,19,64,49,1016.4,1015,7,3,16.6,20.8,No,No,Temperate,Verano
22.8,33.7,0,8,10.7,35,13,24,60,45,1007.6,1006.1,5,3,29.8,32.7,No,No,Temperate,Verano
23.6,30.5,0,7,11.5,43,19,33,65,56,1015.3,1012.2,6,1,28.1,29.4,No,No,Temperate,Primavera
19.9,28.4,0,7.4,11.3,50,15,33,60,39,1020,1017.6,3,3,23.6,28,No,No,Subtropical,Verano
23.8,32.7,0,9.4,11,35,11,28,59,43,1016.4,1013.3,4,4,30.2,31.4,No,No,Temperate,Otoño
13.2,22,0,5.8,6.1,52,20,19,64,49,1016.7,1016.5,6,7,16,20,No,No,Temperate,Verano
23.4,29,10.6,5,1.7,39,13,24,80,69,1010.8,1008.4,7,7,26.7,27.7,Yes,Yes,Temperate,Otoño
7.8,18.7,0,3.4,9.8,30,11,15,62,40,1026.8,1024.7,1,1,11.6,18,No,No,Subtropical,Invierno
11.3,28.2,0,5,8.3,31,9,13,58,26,1020.2,1014.2,3,7,18.3,26.2,No,No,Temperate,Otoño
8.9,18.2,1,4.4,3.2,39,13,11,92,80,1018.2,1016.6,7,7,12.6,16.1,No,Yes,Temperate,Primavera
13.3,28.5,0,8,4.1,33,6,11,61,37,1025.3,1022.9,6,6,19.3,27.4,No,Yes,Temperate,Primavera
24.9,32.8,0.6,2,3.8,28,13,9,67,56,1009.5,1005.3,6,7,30.3,30.5,No,No,Temperate,Primavera
18.9,25.1,0,4.4,9.3,37,17,24,45,48,1026.4,1026.7,3,3,23.1,23.2,No,No,Subtropical,Verano
16.8,25.6,0,4,7.4,33,11,22,76,35,1010.7,1008.1,7,3,17.7,23.8,No,No,Temperate,Otoño
17.9,29.2,0,10.4,11.9,70,35,33,49,29,1018.2,1015.4,0,1,22.6,28.5,No,No,Subtropical,Verano
5.5,28.5,0,4,10.4,30,17,7,16,9,1016.8,1012.7,1,0,20.1,27,No,No,Grassland,Otoño
9.4,15,3,1.6,2.3,37,11,20,69,67,1025.3,1024.3,7,3,11.5,13.8,Yes,Yes,Temperate,Otoño
24.2,32.5,13.2,3,3.3,26,6,19,93,67,1009.2,1005.2,8,7,25,31.6,Yes,Yes,Temperate,Verano
7.5,11.7,8.6,1.2,6.8,72,17,28,84,54,1011.6,1014.5,7,3,9,11.1,Yes,No,Temperate,Invierno
21.5,34,0,4.4,9.8,46,9,20,80,47,1014.4,1009.9,4,1,25.5,31.7,No,No,Temperate,Invierno
17.8,36.3,0,11.8,12.5,61,28,37,28,20,1010.4,1007.5,1,1,27.5,33.8,No,No,Subtropical,Verano
0.5,12.4,0,1.4,5,33,15,19,95,63,1021.5,1020.2,6,3,4.8,12.2,No,No,Temperate,Invierno
5.3,24.7,0.8,4.8,10.6,30,9,17,71,33,1017.3,1014.5,1,4,11.8,22.8,No,No,Temperate,Otoño
9.7,19.9,0,2.4,6.8,30,15,13,65,51,1019.5,1017.1,7,1,13,18.4,No,No,Temperate,Otoño
7.9,21.8,0,4,9.2,31,17,17,80,45,1026.8,1024.3,4,1,15.7,21.6,No,No,Temperate,Otoño
6.5,16.7,0,3.2,9.8,33,7,15,48,38,1016.3,1014.2,1,1,11.3,16.4,No,No,Temperate,Invierno
18.2,33.7,0,8,12.9,35,22,6,58,27,1015.6,1012.2,2,3,21.9,30.8,No,No,Subtropical,Verano
11.6,19.9,0,6.4,8.2,37,11,20,53,51,1018.6,1017.5,7,4,14.7,18.3,No,No,Temperate,Verano
25.9,34.7,0,6.2,8.9,44,13,13,62,73,1012.3,1008,3,3,30.6,29.6,No,Yes,Temperate,Primavera
13.3,20.3,0.2,5,11.1,35,19,22,63,50,1021.2,1019.4,5,1,17.5,19.2,No,No,Subtropical,Primavera
0.8,16.6,0,1,8.4,28,7,15,80,34,1026.8,1023.9,5,5,5.3,15.9,No,No,Temperate,Invierno
5.6,12.3,22.9,2.1,7.2,50,11,20,93,84,1016.9,1018.1,6,7,7.5,9.9,Yes,No,Temperate,Invierno
24.2,34.7,25.8,6.2,8.5,39,2,20,71,72,1003.9,1000.6,7,7,30.3,31.5,Yes,No,Temperate,Verano
11.5,28.2,0,4.4,11.4,33,6,19,41,50,1016.6,1013.2,2,1,24.7,22.5,No,No,Subtropical,Primavera
11.9,22,3.8,6.2,7.7,35,19,24,55,49,1020,1018.5,7,6,17.1,19.7,Yes,No,Subtropical,Primavera
10.8,26,0,7.6,13,35,15,17,46,33,1021,1015.8,2,4,19.8,23.7,No,No,Subtropical,Primavera
21.7,29,0,15.2,10.9,43,24,17,59,29,1012,1011,1,1,21.9,26.9,No,No,Grassland,Otoño
14.7,26.3,0,3.4,10.6,30,7,15,74,56,1016.5,1012.5,1,4,19.8,25,No,No,Subtropical,Otoño
16.7,22.3,3,8,8.3,44,22,20,48,48,1018.5,1017.7,1,7,19.2,20.9,Yes,No,Subtropical,Otoño
12.7,16,0.6,2.2,0,33,9,4,90,75,1019.7,1017.6,8,8,14,15.8,No,No,Temperate,Otoño
14.9,33.5,0,12.4,13.3,33,11,11,46,17,1020.8,1015.6,0,1,22.4,32.6,No,No,Subtropical,Verano
11.4,29.3,0.2,2.8,8.5,30,7,15,97,46,1011.8,1007.9,1,4,15.6,27.9,No,No,Temperate,Otoño
2.4,16.1,0,1.2,7.8,41,28,13,93,49,1022.5,1017.9,1,4,4.1,15.6,No,Yes,Temperate,Otoño
16.4,19.4,0.4,9.2,0,26,6,11,88,72,1010.7,1008.9,8,8,16.5,18.3,No,Yes,Temperate,Primavera
4.2,18.1,0,1.8,5.8,22,9,9,82,45,1030.8,1027.1,1,6,10.2,17.9,No,No,Subtropical,Invierno
9.5,31.4,0,5.4,12,56,43,22,44,26,1026.4,1025.1,5,5,22.4,29.7,No,No,Temperate,Primavera
5.5,15.4,0,1.6,9.8,22,13,13,59,50,1028.9,1027.3,2,6,12.4,15,No,No,Temperate,Primavera
4.2,21.7,0,5.4,10.3,35,2,15,53,33,1016.9,1013.6,3,0,11,20.9,No,No,Grassland,Otoño
7.5,17.7,2.8,1.4,8.5,22,6,9,92,52,1028.5,1025.6,7,1,10.1,17.2,Yes,No,Temperate,Invierno
14.3,23.9,0,3.6,6.3,35,15,26,66,59,1025.7,1022,5,1,19.5,22.7,No,No,Subtropical,Primavera
14.8,20.5,0,3.6,2.1,33,11,20,79,51,1008,1005.8,7,7,16.1,19.3,No,Yes,Temperate,Otoño
13.9,31.9,0,8.4,12.5,57,20,22,47,36,1019.7,1015.3,0,1,23.4,30.3,No,No,Subtropical,Primavera
2.7,10.9,9.6,1.6,8.4,57,13,24,51,45,995.9,994.7,2,5,6.6,9.9,Yes,Yes,Temperate,Primavera
19.5,24,0.6,4.6,2.7,33,19,15,95,81,1020.6,1019.6,8,8,20.7,22.5,No,No,Subtropical,Verano
8.4,19.4,0,4,6.2,52,20,19,45,82,1010.5,1012.3,1,8,13.5,11.8,No,Yes,Grassland,Invierno
21.5,29.6,17.4,2.8,4.6,37,19,22,83,78,1014.6,1012,6,7,26.4,28.6,Yes,Yes,Temperate,Primavera
23.9,28.4,2.6,2.6,0.6,28,6,9,72,78,1014.4,1011.8,7,8,27.5,27,Yes,Yes,Temperate,Primavera
12,15.3,2.2,1.2,0.9,37,15,28,97,74,1009.7,1007.4,8,7,12.6,14.3,Yes,No,Subtropical,Invierno
5.5,16.5,0,2.8,5.4,17,7,7,94,59,1029.5,1026.4,8,6,9.2,15.1,No,No,Temperate,Otoño
9.2,24.8,0,4.8,10.1,39,13,24,50,55,1011.3,1010.8,0,3,19.5,22.9,No,No,Subtropical,Otoño
20.4,24.5,0,3,9.3,31,20,17,81,74,1019.7,1017.6,4,3,22.5,22.9,No,No,Subtropical,Otoño
12.5,17.5,0,5.6,2.4,56,30,28,61,78,1016,1018,6,7,15.3,11.7,No,No,Temperate,Primavera
10.4,14.8,0.6,3.4,3,61,22,33,74,60,1003.2,997.3,3,7,11.7,13.9,No,Yes,Temperate,Invierno
11.7,15.3,3.6,2.6,1.4,48,15,20,85,69,1007.7,1006.5,8,7,12.2,14.5,Yes,Yes,Temperate,Otoño
19.7,22.7,0,4,9.2,39,17,24,58,54,1016.3,1015.8,3,6,21.5,21.4,No,No,Subtropical,Otoño
15.5,32.9,0,5.4,10.9,37,9,24,81,31,1018.8,1016.1,0,5,19.6,32.1,No,No,Temperate,Otoño
9.9,19.6,0,4.4,3.4,59,6,26,56,43,1019.3,1016.1,7,7,14.8,18.5,No,No,Temperate,Otoño
3.9,22.9,0,2,9.2,31,7,9,75,31,1032.8,1028.9,0,0,10.9,22.4,No,No,Subtropical,Invierno
21.1,31.4,6,4.2,3.8,43,17,24,73,61,1015.8,1012.2,7,7,26.1,29.7,Yes,Yes,Temperate,Otoño
6.1,21.1,0,5.6,10.2,26,9,6,46,27,1018,1014.8,0,1,14.2,20.5,No,No,Subtropical,Invierno
10,18,0,0.6,4.4,22,6,7,87,49,1033,1031.3,2,7,12.5,16.3,No,No,Temperate,Invierno
14.8,19.7,0,1.8,9.1,41,22,22,61,63,1029.2,1026.2,2,3,18.1,18.5,No,No,Subtropical,Invierno
15.1,23.7,0,9,8.9,43,7,20,54,52,1013.6,1012.4,7,6,20.5,21.5,No,No,Subtropical,Verano
3.8,13.9,1.6,0,0.4,19,11,2,97,82,1008.6,1007.4,8,7,7.5,12.7,Yes,Yes,Temperate,Invierno
16.9,24.6,10.2,2.8,10.7,28,7,19,71,62,1009.4,1007,6,2,20,23.4,Yes,No,Subtropical,Primavera
11.8,23.1,0,7,9.4,83,35,48,40,25,1017.8,1014,7,1,15,21.9,No,No,Temperate,Primavera
16.6,25.5,20.8,1.8,7.1,41,11,20,81,72,997.2,993.4,7,6,20,22.9,Yes,No,Temperate,Verano
16.1,31.8,0,14.6,11.6,35,17,22,29,18,1016.8,1012.4,0,0,22.6,30.7,No,No,Grassland,Otoño
5.6,13.7,13.6,2.2,7.1,30,9,13,100,56,1017.6,1016.7,1,5,6.6,12.9,Yes,Yes,Temperate,Invierno
9.6,14,0,3.2,2.8,24,13,7,64,55,1018,1017.7,7,7,10.7,12.9,No,No,Temperate,Primavera
10.2,16.8,0,5.8,2.3,39,11,26,65,46,1015.3,1014.6,7,7,12.6,16.4,No,No,Temperate,Verano
-1.5,11.7,1.6,2.8,6.1,13,6,6,80,51,1032.7,1030.8,3,6,4.3,10.4,Yes,No,Temperate,Invierno
10.8,23.4,0,6,4.7,52,24,37,59,30,1012.4,1009.2,7,7,14.8,22.6,No,No,Desert,Otoño
20.4,28.4,0.4,9.6,11,41,20,31,65,52,1017.9,1014.9,3,2,25.6,27.5,No,No,Temperate,Primavera
4.3,18.9,0,2,10.1,31,13,20,79,35,1028,1024.1,0,0,7.1,18.2,No,No,Temperate,Otoño
9.7,23.6,0,9,10.7,30,20,6,38,12,1025.7,1022.6,2,2,14.3,22.2,No,No,Desert,Primavera
24.5,38.7,0,7.8,11,43,26,26,47,36,1005.7,1003,1,2,30.1,36.9,No,No,Subtropical,Verano
15.5,27.9,0,18.8,13.1,65,31,35,50,23,1018.3,1016.1,1,1,18.2,25.8,No,No,Desert,Verano
20,24,0,6.2,0.1,33,11,24,48,52,1022.1,1018.8,7,7,20.7,23.6,No,No,Temperate,Invierno
2.5,24.2,0,3.4,10.5,28,15,7,41,21,1032.5,1029.9,0,1,14.7,22.9,No,No,Subtropical,Invierno
10.7,19.1,0,9.4,8.3,56,19,35,69,46,1018.8,1016.7,5,3,13.4,18.6,No,No,Temperate,Primavera
5.3,21.8,0,2.4,10,31,15,15,49,39,1017,1013.3,0,0,16.7,20.6,No,No,Subtropical,Otoño
-1,12.9,0.2,1,2.1,20,7,13,100,68,1026.5,1022.2,7,7,1.6,10.9,No,No,Grassland,Invierno
7,15.9,0,2.8,7.8,44,20,26,76,44,1021.3,1019.6,1,4,10.3,13.5,No,No,Temperate,Otoño
6.7,14.6,0,1.3,4.9,22,9,7,98,60,1028.7,1026.1,8,6,8.1,14.1,No,No,Grassland,Invierno
10.6,27.3,0,7.4,10.5,44,19,31,46,71,1014.2,1014.2,1,4,23.4,22.7,No,No,Subtropical,Verano
2.2,15.8,0.3,1.3,5.4,41,13,9,79,88,1026.7,1025.3,2,6,11.1,13.5,No,No,Temperate,Otoño
12.9,17.9,4.6,3.4,10.1,46,13,19,53,52,1025.1,1025.2,3,5,15.8,16.7,Yes,No,Subtropical,Invierno
6.6,13.6,0,1.4,5.4,63,28,41,72,58,1019.2,1014.9,4,7,8.3,11.8,No,No,Temperate,Invierno
6.1,17.4,0,3.2,9.9,30,13,11,47,30,1023.8,1021.4,1,1,10.6,17.1,No,No,Desert,Invierno
9.7,16.8,0,4,4.3,33,11,20,66,66,1018.7,1016.7,8,7,13,15.3,No,Yes,Temperate,Primavera
23.3,31.2,5.4,4.4,8.1,31,7,15,78,65,1012.2,1008.1,3,2,27.3,30.8,Yes,No,Temperate,Otoño
7.5,20.5,0,3,10.6,46,31,20,71,40,1029,1024.2,1,1,11.9,20.1,No,No,Temperate,Invierno
17.6,32.3,0,7.6,11,41,13,24,44,41,1013.4,1010.1,0,3,25.5,31.3,No,No,Temperate,Invierno
16.4,20.9,0,1.6,3.6,50,11,22,74,69,1020.6,1017.1,7,7,18.9,19.6,No,Yes,Subtropical,Otoño
18,32.3,0,9.6,6.8,56,28,22,50,28,1011.7,1008.3,2,8,24.3,31.9,No,No,Subtropical,Verano
13.7,17.2,2,4,1.5,33,17,17,78,64,1015.4,1016.4,7,7,14.3,15.7,Yes,No,Temperate,Otoño
11.2,34.3,0,8,10.4,37,17,13,62,27,1012.6,1009,7,6,18.1,34,No,No,Temperate,Primavera
4.4,16.5,0,0.4,8.2,20,7,13,93,73,1024.5,1021.7,2,6,9.7,14.6,No,Yes,Temperate,Invierno
20.2,23.5,0,18.4,6.1,61,35,31,72,42,999.6,1002.4,6,6,20.5,22.2,No,No,Subtropical,Verano
14.4,24.1,0,2.4,5.2,26,15,19,71,44,1022,1017.1,7,6,17.2,23.4,No,No,Subtropical,Otoño
6,22.8,0,4,13.4,31,11,15,56,41,1018.8,1015.7,6,2,13.3,19.9,No,No,Temperate,Verano
12.1,22.5,0,6.8,5.7,76,52,52,47,42,1016.2,1011,7,6,16.9,20.4,No,No,Temperate,Primavera
25.8,41.7,0,11.4,12.2,33,9,11,41,17,1006.1,1002.8,2,1,31.2,39.7,No,No,Temperate,Verano
17.3,23.6,25.6,2.2,8.7,46,15,26,89,61,1010.9,1009.8,3,7,20.3,23.4,Yes,Yes,Subtropical,Otoño
8.7,22,0,3.8,9.5,41,11,20,69,48,1025.4,1023.5,7,4,14.2,21.2,No,No,Temperate,Otoño
